Filename,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status
2020-11-24_10-32-36_000.mov,0,20,4,1065.832284,Blind
2020-12-10_09-38-28_000.mov,52,70,13,873.0665763,Visually Impaired
2020-12-10_10-20-58_000.mov,43,66,12,999.1402643,Visually Impaired
2020-12-15_10-47-17_000.mov,31,19,4,617.0138789,Visual
2020-12-17_16-40-35_000.mov,27,48,10,825.3993454,Visually Impaired
2020-12-18_14-20-09_000.mov,35,50,9,698.1783343,Visually Impaired
2021-01-08_13-30-04_000.mov,29,53,4,1027.099863,Visually Impaired
2021-01-22_14-35-51_000.mov,9,39,12,1007.095334,Visually Impaired
2021-01-29_14-31-35_000.mov,13,19,4,883.8852355,Visually Impaired
2021-02-11_15-53-10_000.mov,20,35,10,925.7781368,Visually Impaired
2021-02-16_10-27-52_000.mov,14,21,6,736.9743195,Visually Impaired
2021-02-26_11-22-36_000.mov,21,50,14,854.9840639,Visually Impaired
2021-03-02_10-36-32_000.mov,10,42,9,911.5505857,Visually Impaired
2021-03-04_11-12-21_000.mov,23,64,6,1264.180871,Visually Impaired
2021-03-05_11-46-05_000.mov,7,35,4,1447.108081,Blind
2021-03-19_10-24-57_000.mov,38,78,13,1132.346778,Visually Impaired
2021-04-06_11-17-15_000.mov,13,47,4,1172.562053,Visually Impaired
2021-04-30_13-16-09_000.mov,5,18,2,1196.317389,Blind
2021-05-04_10-37-33_000.mov,21,41,8,839.6872798,Visually Impaired
2021-05-11_15-13-09_000.mov,64,56,19,657.2189655,Visually Impaired
2021-06-08_13-33-05_000.mov,35,46,4,872.6759857,Visually Impaired
2021-06-11_10-36-36_000.mov,49,59,12,965.0726666,Visually Impaired
2021-06-22_12-29-57_000.mov,14,28,2,1095.067301,Visually Impaired
2021-06-25_15-16-48_000.mov,14,37,9,898.6649336,Visually Impaired
2021-06-28_15-18-37_000.mov,114,70,18,534.0657285,Visually Impaired
2021-06-29_10-18-12_000.mov,24,42,8,955.3088765,Visually Impaired
2021-07-01_10-53-08_000.mov,14,29,5,1112.063747,Visually Impaired
2021-07-01_10-53-40_000.mov,22,61,8,1201.008537,Visually Impaired
2021-07-01_11-50-16_000.mov,22,41,7,947.697131,Visually Impaired
2021-07-02_12-47-45_000.mov,10,25,2,1193.923241,Visually Impaired
2021-07-06_10-57-46_000.mov,35,32,6,705.6928472,Visually Impaired
2021-07-08_12-26-13_000.mov,49,48,5,654.3087117,Visually Impaired
2021-07-12_11-04-54_000.mov,26,27,10,713.7542687,Visually Impaired
2021-07-19_10-02-03_000.mov,29,46,9,1015.100991,Visually Impaired
2021-07-19_16-16-36_000.mov,17,47,4,1469.630592,Visually Impaired
2021-07-26_11-40-39_000.mov,26,63,5,1071.714311,Visually Impaired
2021-07-26_16-58-23_000.mov,27,72,13,1262.790638,Visually Impaired
2021-08-06_09-39-22_000.mov,15,52,7,1146.468309,Visually Impaired
2021-08-12_10-32-58_000.mov,24,48,8,965.7843457,Visually Impaired
2021-08-12_10-44-12_000.mov,45,81,10,993.9251261,Visually Impaired
2021-08-16_11-49-15_000.mov,15,36,6,1253.416201,Visually Impaired
2021-08-17_13-39-56_000.mov,16,33,5,1353.048588,Visually Impaired
2021-08-17_15-27-32_000.mov,20,30,3,1045.902701,Visually Impaired
2021-08-24_12-56-59_000.mov,27,60,13,1220.225851,Visually Impaired
2021-08-27_14-35-57_000.mov,15,33,4,1102.685387,Visually Impaired
2021-08-30_16-22-06_000.mov,37,44,6,949.2466881,Visually Impaired
2021-09-02_12-23-47_000.mov,27,53,10,1186.857045,Visually Impaired
2021-09-13_10-28-16_000.mov,18,34,7,1037.082356,Visually Impaired
2021-09-14_12-06-08_000.mov,13,53,13,1062.259792,Visually Impaired
2021-09-20_15-14-59_000.mov,24,43,5,1107.633077,Visually Impaired
2021-09-20_16-18-09_000.mov,15,39,7,989.2166198,Visually Impaired
2021-09-21_17-08-35_000.mov,8,30,1,1243.24285,Visually Impaired
2021-09-23_11-22-50_000.mov,37,80,16,1174.21485,Visually Impaired
2021-09-24_11-12-25_000.mov,15,35,1,1118.328627,Visually Impaired
2021-10-05_10-04-26_000.mov,41,90,20,1017.649974,Visually Impaired
2021-10-11_17-12-55_000.mov,28,57,4,1134.355562,Visually Impaired
2021-10-12_10-43-00_000.mov,53,118,28,1039.343364,Visually Impaired
2021-10-19_12-07-43_000.mov,30,78,12,1073.882525,Visually Impaired
2021-10-21_12-09-42_000.mov,42,52,8,744.71557,Visually Impaired
2021-11-02_13-02-05_000.mov,26,65,23,801.3862781,Visually Impaired
2021-11-08_16-13-25_000.mov,30,57,8,1205.523863,Visually Impaired
2021-11-09_10-01-28_000.mov,9,33,1,1432.509465,Visually Impaired
2021-12-10_14-54-26_000.mov,5,25,4,1489.665076,Blind
2021-12-13_12-12-39_000.mov,48,41,9,815.7215594,Visually Impaired
2021-12-14_11-05-54_000.mov,37,81,23,1010.556388,Visually Impaired
2021-12-16_10-34-06_000.mov,43,57,14,789.2911904,Visually Impaired
2021-12-20_11-45-58_000.mov,42,59,16,844.0585976,Visually Impaired
2022-01-04_16-07-54_000.mov,2,30,5,1509.985094,Blind
2022-01-13_11-06-39_000.mov,30,38,3,832.5210159,Visually Impaired
2022-01-25_10-35-49_000.mov,30,33,6,874.7026779,Visually Impaired
2022-01-31_16-25-39_000.mov,27,46,8,898.3449327,Visually Impaired
2022-02-01_12-08-09_000.mov,18,31,9,1099.210923,Visually Impaired
2022-02-08_11-25-30_000.mov,24,40,5,850.1016735,Visually Impaired
2022-02-22_11-11-41_000.mov,26,38,10,840.8093752,Visually Impaired
2022-02-25_11-34-14_000.mov,11,39,4,1237.741036,Visually Impaired
2022-03-25_09-28-34_000.mov,26,37,7,756.3743726,Visually Impaired
2022-04-01_13-46-21_000.mov,18,49,16,898.3088577,Visually Impaired
2022-04-22_12-34-24_000.mov,13,24,4,948.9570375,Visually Impaired
2022-04-22_14-57-10_000.mov,37,76,13,1077.475958,Visually Impaired
2022-04-28_10-47-40_000.mov,31,49,12,933.5330379,Visually Impaired
2022-05-06_10-27-36_000.mov,29,49,15,833.7370857,Visually Impaired
2022-05-10_13-37-34_000.mov,15,27,2,891.631236,Visually Impaired
2022-07-21_12-12-27_000.mov,55,55,7,653.4869084,Visually Impaired
2022-07-21_12-35-36_000.mov,45,53,13,836.9962169,Visually Impaired
2022-07-25_11-07-09_000.mov,23,45,10,959.7602722,Visually Impaired
2022-08-05_12-37-33_000.mov,32,71,14,929.1050803,Visually Impaired
